Review Date,Reviewer Name,Review Title,Review Content,Aggregated Sentiment,Sentiment Category
18-04-2019,TheRelatableReviewer,"Portable, Stable, Stylish!","[This review was collected as part of a promotion.] This travel system is simply amazing. The carseat and base have straightforward instructions, and the installation is a breeze. The zippers for the stroller basket are heavy duty with a stylish metal finish, and the entire system feels very refined. There are no corners cut in regards to quality, and style. This Shyft stroller is definitely lighter, with a narrower wheel base compared to the XPAND stroller. If you are looking for a single child option, the Shyft would be my first choice. The only, and I mean ONLY thing that could be less than A++++ is the height of the stroller handle. It is perfect at my height (5'10"") and my wifes (5'8""), but it may seem a little tall for any one that is shorter in stature. All in all, this Shyft System is downright user-friendly, easy to use, and good looking while doing it. I will definitely be recommending this to my dad friends!!!",2,positive
18-05-2019,Marlanab218,Easy and versatile!,"[This review was collected as part of a promotion.] This travel system has so many great features. 1. The car seat base was simple to install and very tight! 2. The stroller basket is huge which makes it possible for me to make a small grocery run without needing a store cart. 3. It's super easy to get the car seat on and off of the stroller which is important especially when you are trying to keep a baby asleep transitioning from the car or vice versa. 4. The toddler seat reclines very smoothly so I can lay the baby down from sitting without disturbing her if I can tell she's getting sleepy. 5. The stroller maneuvers like a dream which I was worried about because of it having two wheels in front. 6. My babe seems very comfortable in both the car seat and toddler seat AND they can face either direction when attached to the stroller! Amazing! 7. The SensorSafe monitor is comforting though the chime it plays when you turn the car off is a little loud and has actually woken the baby once. 8. It's really sleek looking in all black with silver accents! The only two things I don't care for are: 1. When you fold the frame you have to be very careful because the handle comes so close to the ground that I have scraped it a couple times and now the plastic is roughed up. 2. Even though my baby is 5 months, sometimes I like to use the toddler seat for long rides so she can stretch out and see a little more. The problem is that you can't hook the car seat on while the toddler seat is in place like another stroller I have so the car with this travel system has the frame and the toddler seat separate in the trunk. I do it that way so I don't have to take it apart for the more common instances when I am just hooking the car seat on but the two separate takes up quite a bit of space in the trunk. With that being said, I prefer this system to the other I have so the all the great features definitely outweigh the couple cons I have found.",2,positive
20-04-2019,Kiela,So many features with such simplicity!,"[This review was collected as part of a promotion.] First i would like to point out that baby #3 is not yet born so this review is for assembly and features only. So first thing is shipping, my product arrived over a week early! Score! Next thing i would like to talk about is assembly. There was no assembly required for the stroller frame itself. The 4 wheels snapped into place in about 30 seconds. Then you just pop the toddler seat or car seat right into place. Next, I love the versatility of this stroller set. You can use either the infant seat or the toddler seat in forward or rear facing positions. You simply push a button on each side, or the release on the back of the infant seat, and spin it around! There are multiple positions for the toddler seat which is great for long trips in the stroller like a day at the zoo. Little one can nap or sit up to see the excitement. The canopy has a zipper extension so you can see baby through the mesh while still protecting them from the sun. One of my favorite features are the brakes. How many moms have scraped the top of their toes trying to lift the brake on their stroller in the summer time? I know I have! There is no lifting on this brake system. Just push forward for brakes and backward to remove the brake. The entire system is very sturdy and durable while also being easy to use and light enough weight. Lastly, the infant seat and base. They are both a little complex in my opinion but i suppose thats what you get for the price you pay. The base has some nice features to it like storage for the Latch Straps and an additional securing mechanism for the seatbelt. Also a gage for the proper recline level as per age of child. The infant seat is padded wonderfully for comfort and comes with very nice infant support pillows! Very thick and supportive. There is a one handed adjuster for the height of the shoulder straps which is amazing! Also a one handed push bottom to adjust the tightness of the straps once buckled. The canopy is very sturdy and the carrying handle is very easy to lift and adjust. The Sensor Safe Chest Clip seems pretty great but I wont know for sure till baby comes. My only complaint so far is that there wasn’t an instruction manual for the infant seat or base. As a mother of soon to be 3 i was able to figure it all out myself but to new parents i could see that being quite intimidating! There are so many rules and regulations in regards to car seats a new parent should definitely have an instruction manual. I still haven’t figured out where to put the extra attachment for the sensor safe system!?",2,positive
17-04-2019,RadMomof3,"Luxurious, Practical, Secure and SAFE.","[This review was collected as part of a promotion.] The car seat is what you call safety at its finest. The upholstery is cushioned and feels comfortable for a newborn to toddler. I really enjoy the newborn insert. No need to purchase additional inserts! This also has an attached adjustable headrest as well. All can be easily removed and washed incase it gets soiled. EvenFlo has taken safety to the next level with the SensorSafe. This little attachment on the seat belt can monitor infant comfort levels while snapped in. There’s an app that connects to your phone and can be Bluetooth connected to your vehicle. It will alert you if it is too warm, unbuckled, or if baby has not been moving for a period of time. But remember parents this is a car seat safety assistance app, NOT a Baby Sitter so you still need to be a responsible parent! My stroller is marvelous !! So Chic, Stylish and comfortable for my little bubs. You have the option of forward facing or parent facing. Or even to just attach the car seat directly on the frame. It’s all very very easy. There’s recline options for infant comfort and my favorite part out of this is even the foot rest area has adjustment options and the fabric there is coated so if it gets dirty is easily wipable. The storage basket is very ample and easily assesible. The wheels are larger than the average stroller and does well on almost all terrain. I took this to roll over some grass, dirt/rocky roads, bad concrete/asphalt and it was no trouble. I drive a Prius and this doesn’t take up my entire trunk. I stand at 5’1 and the height of the stroller is perfect for me doesn’t not strain my arms or stroller. The height can also be adjusted if you are taller. I adjusted to see how high it can go and it went as high as my forehead lol. I am currently 5 months pregnant with my 3rd and I am able to carry this with out difficulty. This is the best stroller I have!",2,positive
24-05-2019,Anonymous reviewer,Amazing Versatile Travel System,"[This review was collected as part of a promotion.] The Evenflo Gold SensorSafe Shyft Travel System is everything I was looking for in a car seat and stroller combination...plus so much more. The ability to easily go from forward facing to rear facing with both the infant and toddler seats is my favorite feature. It only takes seconds! Regardless of where we are or which child needs to ride, this stroller accommodates it all. I can transfer my baby from the car to the stroller without disturbing her. The recline function is great for when my toddler needs a quick nap. The oversized canopy is perfect for protecting my little ones from the elements and the peek-a-boo window not only allows me to keep an eye on my child, but provides air flow as well so they don't overheat. The storage basket underneath is large enough to hold all of our gear for the day when we're out and about. While it doesn't have a parent console with pockets or a place for cups, there is an expandable cup holder that attaches to the side of the stroller. The stroller frame itself is very sturdy and the material is incredibly durable - both important when young children are concerned. Folding the stroller is fairly effortless, just make sure the seat is forward facing. There are individual locks on the rear wheels, easy to activate, even in sandals or flip-flops. I find this system a little easier to push than other brands I have tried. The infant seat has an innovative SensorSafe technology. The chest clip and wireless receiver connect to an app on my phone so that I will receive alerts if the buckle becomes undone or my baby becomes too warm. It also senses if too much time has passed without sensing any movement. The infant seats accommodates babies from 4 to 35 pounds. As my daughter grows, it's very easy to adjust the harness as it never needs to be rethreaded, it simply slides up to grow with her. The base was very easy to install using the Latch system in my vehicle. I was able to do it in less than a minute (while 38 weeks pregnant)! The SecureMax seat not only meets, but exceeds many safety standards. Another important feature - washability. The seat pads are removable and machine washable. Because it's inevitable that spills and accidents are going to happen. I could not be happier with the Evenflo Shyft system.",2,positive
26-05-2019,heatherandrj,This is the best!,[This review was collected as part of a promotion.] When I first saw the travel system I loved the way that it looked! So sleek and modern! It was incredibly easy to put together. The way the car seat is designed makes it more comfortable for an infant that is growing. It has more of a flat base then a curved. Who would not love the huge basket on the bottom to hold everything you need on your day out. So easy to access too. A huge plus as some can be so hard to get the stuff out. The expanding shade is another huge plus! I love how when my child sleeps they can sleep in an almost laying down position. The car seat is very easy to install into the car. I wish I had this stroller as my very first! Only thing missing is a tray that can hold a cup and snack for the child.,2,positive
20-05-2019,Christinereyes26,Our new travel buddy!,"[This review was collected as part of a promotion.] Being a first-time mom is quite challenging. You are always paranoid with things and makes sure all the stuff that you will get for your little one is safe but at the same time budget friendly. One of the staples in having a baby is a travel system. An infant car seat and a stroller to go with it. Not only it is convenient for travel, but also makes parents life easier. In choosing a travel system we always consider a lot of things. We of course prioritize our baby’s safety. We, as moms also consider the materials used, durability and price. Another important thing to consider is how easy for us moms to assemble and install this kind of stuff. I then stumble to Evenflo Gold Shyft travel system. It is like a gift sent by the heavens for me. I am not a tech savvy person and I admit that I am not the brightest when it comes to building and installing things. But this travel system changed everything. It was very easy to assemble. I love the different options for the stroller, and it is not difficult to change the positions and adjust the angles of the basket itself base on my baby’s needs. The rear wheels are a bit chunky for me, but it became ok after I felt the smoothness and ease to push the stroller. Whenever my 10-month-old is in a stroller he likes to see all the things around him and the option of the bassinet itself being able to adjust from lying down to straight sitting position is a big plus for me. He loves how high he is and how we can angle him base on his comfort. The sensor safe feature is very easy to use. I can detect if my is feeling hot or too cold. I love that I can monitor him using my phone. I am very happy with the design and feel of the material. It is very breathable and fashion forward. The color choices are so nice but I just prefer this onyx black since it can go with everything with my baby’s outfit. The car seat and stroller design is sleek and has a beautiful black metallic shine to it. There is also a zipper where you can leave it zipped or opened so you can see your child while the sun is out without the sun getting into your babies eyes and also for added air flow so your baby doesn't get hot. The brakes on the stroller are so easy to use you just push forward to brake and backwards to remove the brake. The stroller itself is light weight which is very important when traveling and it is very easy to fold and unfold. Overall, I am very happy with this stroller and I would recommend it to all parents out there.",2,positive
19-04-2019,motherhoodisbeautiful,"Smooth ride, aesthetically pleasing, made well.","[This review was collected as part of a promotion.] Very comparable to the uppababy stroller. It is so well made and such a smooth ride. Very quick assembly too. The seat clicks onto the stroller frame so well and removes just as easily. You can collapse the stroller easily by pulling upwards. You might need to take off the seat to get it to fit more compact but it fits very nicely in the car. I love the huge storage basket on the bottom, it’s perfect for packing up for the park, shopping, and even grocery store trips. The color of this is very beautiful, not just a solid black. I do also love how the car seat lights up when clicked correctly. This travel system is amazing!",2,positive
18-04-2019,KLMR4023,Amazing product!!!!,"[This review was collected as part of a promotion.] This is sleek and stylish perfect for and on the move mom with little time to sit and fuss with a car seat and re threading it over and over again. The slide adjusted car seat is amazing and so incredible. Prefect fit every time.this stroller was easy to put together. Not husband or instructions required at all just a fey snaps and it’s ready to go. I love the possibilities on this as well from infant all the way sky back fro the toddler naps to siting up and active baby ready to see the world. My little one love this feature already!!! Busy family always in the go so this all being easy to instal, light weight, and easy to install make this a life and time savor that I get to spend more time with my kids not fighting with little things that are supposed to keep them safe. It is amazing and easy couldn’t be happier with this product or is beauty and solid design. I’m in love!!! You will be too.",2,positive
11-07-2021,DeborahJ,Great product for both mom and baby,"This travel system is ideal for transporting my son. As a single mom in my 40s by choice, I need systems in place that both make my life easier and make my son's life better. The Evenflo Shyft system does both. The pieces are high quality and very easy for me to use. My elderly parents were also able to acclimate quite quickly. The componant parts are made with my child's safety and comfort in mind. Appropriate technology and cushions protect his body,but the way they fit also protects him from sharp edges (and thus my ears from complaints). A really top notch product from a great comany with quick, helpful support. The cat also approves.",2,positive
